Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
349164,Firmin: Adventures of a Metropolitan Lowlife,Sam Savage,"Savage, Sam",Michael Mikolowski,"=""1566891817""","=""9781566891813""",0,3.49,Coffee House Press,Paperback,162,2006,2006,,2022/12/24,,,read,,,,1,0
2214574,Lavinia,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0151014248""","=""9780151014248""",0,3.83,"Harcourt, Inc.",Hardcover,279,2008,2008,,2022/12/24,,,read,,,,1,0
17465515,"The Story of a New Name (The Neapolitan Novels, #2)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",5,4.42,Europa Editions,Paperback,471,2013,2012,,2022/05/22,,,read,,,,1,0
25242224,"The Story of the Lost Child (The Neapolitan Novels, #4)",Elena Ferrante,"Ferrante, Elena","Ann Goldstein, Kristin Sørsdal, Silje Breivik","=""1609452860""","=""9781609452865""",5,4.42,Europa Editions,Paperback,473,2015,2014,,2022/06/10,,,read,,,,1,0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",5,4.38,Ecco,Paperback,378,2012,2011,,2022/07/05,,,read,,,,1,0
31817749,"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.35,Orbit,Paperback,416,2017,2017,2022/04/05,2022/04/06,,,read,,,,1,0
23156040,"Those Who Leave and Those Who Stay (The Neapolitan Novels, #3)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",5,4.33,Europa Editions,Paperback,418,2014,2013,,2022/06/02,,,read,,,,1,0
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.32,Orbit,Paperback,468,2015,2015,2022/03/18,2022/03/18,,,read,,,,1,0
26228034,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.31,Orbit,Paperback,410,2016,2016,2022/03/29,2022/03/29,,,read,,,,1,0
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",5,4.25,"Little, Brown and Company",Hardcover,393,2018,2018,2022/03/07,2022/03/08,,,read,,,,1,0
50202953,Piranesi,Susanna Clarke,"Clarke, Susanna",,"=""163557563X""","=""9781635575637""",4,4.25,Bloomsbury,Hardcover,245,2020,2020,,2022/06/02,,,read,,,,1,0
